TF_symbol
ADNP
AEBP2
AFF1
AFF4
AHCTF1
AHR
AHRR
AIRE
AKNA
ALX3
ALX4
AR
ARGFX
ARID3A
ARID5B
ARNT
ARNT2
ARNTL
ARNTL2
ARX
ASCL1
ASCL2
ASCL3
ASCL4
ASCL5
ASH1L
ATF1
ATF2 
ATF3
ATF4
ATF5
ATF6
ATF6B 
ATF7
ATMIN
ATN1
ATOH1
ATOH7
ATOH8
ATXN7
BACH1
BACH2
BARHL1
BARHL2
BARX1
BARX2
BATF
BATF2
BATF3
BBX
BCL11A
BCL11B
BCLAF1
BHLHA15 
BHLHA9
BHLHB2
BHLHB4 
BHLHB5
BHLHB9
BHLHE41
BMP2
BNC1
BNC2
BOLA1
BOLA2
BOLA2B
BOLA3
BSX
C13ORF8
C20ORF194
CAMTA1
CAMTA2
CARHSP1
CBFB
CDC5L
CDX1
CDX2 
CDX4
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CEBPZ
CENPT
CIC
CIZ1
CLOCK
CPXCR1
CRAMP1L
CREB1
CREB3
CREB3L1
CREB3L2
CREB3L3
CREB3L4
CREB5
CREBL2
CREBRF
CREBZF
CRX
CTCF
CTCFL
CUX2
CXXC1
DACH1
DACH2
DBP
DBX1
DBX2
DDIT3
DEAF1
DLX1
DLX2
DLX3
DLX4
DLX5
DLX6
DMBX1
DMRT1
DMRT2
DMRT3
DMRTA1
DMRTA2
DMRTB1
DMRTC2
DMTF1
DNAJC2
DNAJC21
DPF1
DPF2
DPRX
DR1
DRAP1
DRGX
DUX1
DUX4
DUXA
E2F1
E2F2
E2F3
E2F4
E2F5
E2F6
E2F7
E2F8
E4F1
EBF1
EBF3
EBF4
EGR1
EGR2
EGR3
EGR4
EHF
ELF1
ELF2
ELF3
ELF4
ELF5
ELK1
ELK3
ELK4
ELMSAN1
ELP3
EMX1
EMX2
EN1
EN2
EOMES
EPAS1
ERF
ERG
ERVK3-1
ESRRA
ESRRB
ESX1
ETF1
ETS1
ETS2
ETV1
ETV2
ETV3
ETV3L
ETV4
ETV5
ETV6
ETV7
EVX1
EVX2
EZH1
EZH2
FAM170A
FERD3L
FEV
FEZF1
FEZF2
FIGLA
FIZ1
FLI1
FLJ12895
FLJ20321
FLJ25476
FLJ35784
FOS
FOSB
FOSL1
FOSL2
FOXA2
FOXA3
FOXB1
FOXB2
FOXC1
FOXD1
FOXD2
FOXD3
FOXD4
FOXD4L1
