,ligand,receptor
5035,CXCL12,CCR9
5036,CCL19,CCR9
5037,CCL21,CCR9
5038,CCL25,CCR9
5039,CCL13,CCR9
5040,CCL14,CCR9
5041,CCL15,CCR9
5042,CCL23,CCR9
5043,CCL3,CCR9
5044,CCL7,CCR9
5045,CCL27,CCR9
5046,CCL28,CCR9
5047,CCL16,CCR9
5048,CCL11,CCR9
5049,CCL24,CCR9
5050,CCL26,CCR9
5051,CCL17,CCR9
5052,CCL22,CCR9
5053,CCL20,CCR9
5054,CCL1,CCR9
5055,CXCL1,CCR9
5056,CXCL6,CCR9
5057,CXCL8,CCR9
5058,CXCL2,CCR9
5059,CXCL3,CCR9
5060,CXCL5,CCR9
5061,PPBP,CCR9
5062,CXCL13,CCR9
5063,CX3CL1,CCR9
5064,TNFSF15,CCR9
5065,XCL1,CCR9
5066,XCL2,CCR9
5067,PF4,CCR9
5068,CXCL14,CCR9
5069,CCL18,CCR9
5070,PF4V1,CCR9
5071,CCL4L1,CCR9
5072,CCL5,SDC1
5073,HGF,SDC1
5074,TGFB1,SDC1
5075,FGF2,SDC1
5076,MDK,SDC1
5077,PTN,SDC1
5078,CXCL8,SDC1
5079,SLIT1,SDC1
5080,SLIT2,SDC1
5081,THBS1,SDC1
5082,THBS2,SDC1
5083,COMP,SDC1
5084,LAMA5,SDC1
5085,LACRT,SDC1
5086,TNC,SDC1
5087,COL6A3,SDC1
5088,ANGPTL4,SDC1
5089,COL6A5,SDC1
5090,COL6A6,SDC1
5091,THBS4,SDC1
5092,COL11A2,SDC1
5093,IFNG,TGFB1
5094,RB1,TGFB1
5095,EGF,TGFB1
5096,IL4,TGFB1
5097,YBX1,TGFB1
5098,HGF,TGFB1
5099,TNF,TGFB1
5100,TGFBR3,TGFB1
5101,IL2,TGFB1
5102,IL13,TGFB1
5103,TGFB3,TGFB1
5104,TGFB2,TGFB1
5105,INHBA,TGFB1
5106,IL7,TGFB1
5107,PTN,TGFB1
5108,INHBB,TGFB1
5109,EDN1,TGFB1
5110,AVP,TGFB1
5111,ADCYAP1,TGFB1
5112,UTS2,TGFB1
5113,FST,TGFB1
5114,THBS1,TGFB1
5115,CTGF,TGFB1
5116,FGF13,TGFB1
5117,DCN,TGFB1
5118,INHBE,TGFB1
5119,LEFTY1,TGFB1
5120,BMP3,TGFB1
5121,DPP4,TGFB1
5122,INHBC,TGFB1
5123,PLG,TGFB1
5124,LEFTY2,TGFB1
5125,CD8A,TGFB1
5126,PCNA,NCR2
5127,KMT2E,NCR2
5128,HLA-A,APLP2
5129,PCSK9,APLP2
5130,IFNG,VLDLR
5131,RELN,VLDLR
5132,APOE,VLDLR
5133,APOB,VLDLR
5134,PCSK9,VLDLR
5135,APOC4,VLDLR
5136,CXCL9,MTNR1A
5137,CCL5,MTNR1A
5138,CXCL10,MTNR1A
5139,CXCL11,MTNR1A
5140,CXCL12,MTNR1A
5141,CCL19,MTNR1A
5142,CCL21,MTNR1A
5143,CCL25,MTNR1A
5144,APLN,MTNR1A
5145,AGT,MTNR1A
5146,KNG1,MTNR1A
5147,CCL23,MTNR1A
5148,CCL27,MTNR1A
5149,CCL28,MTNR1A
5150,CCL16,MTNR1A
5151,CCL20,MTNR1A
5152,CXCL1,MTNR1A
5153,CXCL6,MTNR1A
5154,CXCL8,MTNR1A
5155,CXCL2,MTNR1A
5156,CXCL3,MTNR1A
5157,CXCL5,MTNR1A
5158,PPBP,MTNR1A
5159,CXCL13,MTNR1A
5160,POMC,MTNR1A
5161,PDYN,MTNR1A
5162,PENK,MTNR1A
5163,ANXA1,MTNR1A
5164,MT-RNR2,MTNR1A
5165,SAA1,MTNR1A
5166,GAL,MTNR1A
5167,PMCH,MTNR1A
5168,NMS,MTNR1A
5169,NMU,MTNR1A
5170,PNOC,MTNR1A
5171,NPB,MTNR1A
5172,NPW,MTNR1A
5173,NPY,MTNR1A
5174,RLN3,MTNR1A
5175,INSL5,MTNR1A
5176,CORT,MTNR1A
5177,SST,MTNR1A
5178,PYY,MTNR1A
5179,PPY,MTNR1A
5180,CALR,MTNR1A
5181,PF4,MTNR1A
5182,ANXA1,FPR2
5183,MT-RNR2,FPR2
5184,SAA1,FPR2
5185,FAM3D,FPR2
5186,CXCL9,GRM7
5187,CCL5,GRM7
5188,CXCL10,GRM7
5189,CXCL11,GRM7
5190,CXCL12,GRM7
5191,CCL19,GRM7
5192,CCL21,GRM7
5193,CCL25,GRM7
5194,APLN,GRM7
5195,AGT,GRM7
5196,KNG1,GRM7
5197,CCL23,GRM7
5198,CCL27,GRM7
5199,CCL28,GRM7
5200,CCL16,GRM7
5201,CCL20,GRM7
5202,CXCL1,GRM7
5203,CXCL6,GRM7
5204,CXCL8,GRM7
5205,CXCL2,GRM7
5206,CXCL3,GRM7
5207,CXCL5,GRM7
5208,PPBP,GRM7
5209,CXCL13,GRM7
5210,POMC,GRM7
5211,PDYN,GRM7
5212,PENK,GRM7
5213,ANXA1,GRM7
5214,MT-RNR2,GRM7
5215,SAA1,GRM7
5216,GAL,GRM7
5217,PMCH,GRM7
5218,NMS,GRM7
5219,NMU,GRM7
5220,PNOC,GRM7
5221,NPB,GRM7
5222,NPW,GRM7
5223,NPY,GRM7
5224,RLN3,GRM7
5225,INSL5,GRM7
5226,CORT,GRM7
5227,SST,GRM7
5228,PYY,GRM7
5229,PPY,GRM7
5230,PF4,GRM7
5231,PRND,RPSA
5232,LAMA1,RPSA
5233,LAMA2,RPSA
5234,LAMB2,RPSA
5235,DUSP18,RPSA
5236,TNF,TNFRSF21
5237,S100B,AGER
5238,S100A1,AGER
5239,S100A8,AGER
5240,S100A9,AGER
5241,IFNG,CD74
5242,MIF,CD74
5243,HLA-DMA,CD74
5244,HLA-DMB,CD74
5245,COPA,CD74
5246,NGF,NGFR
5247,IL2,NGFR
5248,BDNF,NGFR
5249,NTF3,NGFR
5250,NTF4,NGFR
5251,NTS,NGFR
5252,TTR,NGFR
5253,DKK1,LRP1
5254,INS,LRP1
5255,PDGFB,LRP1
5256,WNT3A,LRP1
5257,MDK,LRP1
5258,CALR,LRP1
5259,THBS1,LRP1
5260,CTGF,LRP1
5261,VWF,LRP1
5262,APOA1,LRP1
5263,APOE,LRP1
5264,APOB,LRP1
5265,LGALS9,LRP1
5266,APOC3,LRP1
5267,APOC2,LRP1
5268,PF4,LRP1
5269,PCSK9,LRP1
5270,APOA4,LRP1
5271,APOA2,LRP1
5272,FCN2,LRP1
5273,HPX,LRP1
5274,ERFE,LRP1
5275,FCN1,LRP1
5276,TGFB1,PTGER2
5277,WNT1,LRP6
5278,WNT5A,LRP6
5279,DKK1,LRP6
5280,WNT8A,LRP6
5281,BMP4,LRP6
5282,WNT3A,LRP6
5283,WIF1,LRP6
5284,WNT10B,LRP6
5285,WNT2,LRP6
5286,WNT7A,LRP6
5287,WNT4,LRP6
5288,RSPO1,LRP6
5289,RSPO3,LRP6
5290,WNT11,LRP6
5291,WNT16,LRP6
5292,PTH,LRP6
5293,FZD8,LRP6
5294,CTGF,LRP6
5295,APOE,LRP6
5296,WNT3,LRP6
5297,WNT5B,LRP6
5298,APOB,LRP6
5299,WNT10A,LRP6
5300,WNT8B,LRP6
5301,WNT9A,LRP6
5302,WNT9B,LRP6
5303,DKK4,LRP6
5304,CKLF,LRP6
5305,DKK2,LRP6
5306,SOSTDC1,LRP6
5307,SOST,LRP6
5308,NRG1,GPC1
5309,SHH,GPC1
5310,BMP2,GPC1
5311,VEGFA,GPC1
5312,SLIT1,GPC1
5313,SLIT2,GPC1
5314,LAMA1,GPC1
5315,CXCL9,ADRA2A
5316,CCL5,ADRA2A
5317,CXCL10,ADRA2A
5318,CXCL11,ADRA2A
5319,CXCL12,ADRA2A
5320,CCL19,ADRA2A
5321,CCL21,ADRA2A
5322,CCL25,ADRA2A
5323,APLN,ADRA2A
5324,AGT,ADRA2A
5325,KNG1,ADRA2A
5326,CCL23,ADRA2A
5327,CCL27,ADRA2A
5328,CCL28,ADRA2A
5329,CCL16,ADRA2A
5330,CCL20,ADRA2A
5331,CXCL1,ADRA2A
5332,CXCL6,ADRA2A
5333,CXCL8,ADRA2A
5334,CXCL2,ADRA2A
5335,CXCL3,ADRA2A
5336,CXCL5,ADRA2A
5337,PPBP,ADRA2A
5338,CXCL13,ADRA2A
5339,POMC,ADRA2A
5340,PDYN,ADRA2A
5341,PENK,ADRA2A
5342,ANXA1,ADRA2A
5343,MT-RNR2,ADRA2A
5344,SAA1,ADRA2A
5345,GAL,ADRA2A
5346,PMCH,ADRA2A
5347,NMS,ADRA2A
5348,NMU,ADRA2A
5349,PNOC,ADRA2A
5350,NPB,ADRA2A
5351,NPW,ADRA2A
5352,NPY,ADRA2A
5353,RLN3,ADRA2A
5354,INSL5,ADRA2A
5355,CORT,ADRA2A
5356,SST,ADRA2A
5357,PYY,ADRA2A
5358,PPY,ADRA2A
5359,PF4,ADRA2A
5360,DBH,ADRA2A
5361,IL10,CD40
5362,IFNG,CD40
5363,CD40LG,CD40
5364,TNFSF13B,CD40
5365,LTB,CD40
5366,IL18,CD40
5367,IL6,IL6R
5368,PTPN6,IL6R
5369,TNF,IL6R
5370,OSM,IL6R
5371,APOE,TREM2
5372,SEMA6D,TREM2
5373,CNTN1,NRCAM
5374,CNTN2,NRCAM
5375,BCAN,NRCAM
5376,GDNF,CDH2
5377,BDNF,CDH2
5378,FGFR4,CDH2
5379,IFNG,CXCL16
5380,MDK,NCL
5381,PTN,NCL
5382,RAC1,CDH5
5383,IL1B,CDH5
5384,BMP6,CDH5
5385,ANGPT2,CDH5
5386,KDR,CDH5
5387,KNG1,CDH5
5388,CXCL8,CDH5
5389,VEGFA,CDH5
5390,ICAM1,CDH5
5391,ANGPTL4,CDH5
5392,RAC1,ITGA1
5393,VEGFD,ITGA1
5394,RELN,ITGA1
5395,VTN,ITGA1
5396,SEMA7A,ITGA1
5397,THBS1,ITGA1
5398,THBS2,ITGA1
5399,VWF,ITGA1
5400,COMP,ITGA1
5401,LAMB1,ITGA1
5402,LAMA4,ITGA1
5403,LAMA5,ITGA1
5404,LAMC1,ITGA1
5405,LAMC2,ITGA1
5406,TNC,ITGA1
5407,COL6A3,ITGA1
5408,LAMA3,ITGA1
5409,LAMC3,ITGA1
5410,LAMA1,ITGA1
5411,LAMB3,ITGA1
5412,SPP1,ITGA1
5413,LAMA2,ITGA1
5414,LAMB2,ITGA1
5415,CHAD,ITGA1
5416,COL6A6,ITGA1
5417,THBS4,ITGA1
5418,DUSP18,ITGA1
5419,COL11A2,ITGA1
5420,RAC1,CDH4
5421,CCNA2,TLR2
5422,IL6,TLR2
5423,CSF2,TLR2
5424,TGFB1,TLR2
5425,SAA1,TLR2
5426,VIP,TLR2
5427,VCAN,TLR2
5428,DCN,TLR2
5429,APOC3,TLR2
5430,SFTPA1,TLR2
5431,PRG4,TLR2
5432,ANXA2,TLR2
5433,IL16,GRIN2D
5434,TNF,TLR9
5435,IL15,CD69
5436,LGALS1,CD69
5437,S100A8,CD69
5438,MYL9,CD69
5439,CD40LG,CD83
5440,TNF,CD83
5441,IL2,CD83
5442,NGF,TRPV1
5443,TNF,TRPV1
5444,NTF3,TRPV1
5445,WNT1,FZD1
5446,SFRP2,FZD1
5447,WNT5A,FZD1
5448,WNT8A,FZD1
5449,WNT3A,FZD1
5450,WIF1,FZD1
5451,WNT10B,FZD1
5452,WNT2,FZD1
5453,WNT7A,FZD1
5454,WNT4,FZD1
5455,WNT6,FZD1
5456,WNT11,FZD1
5457,WNT16,FZD1
5458,WNT2B,FZD1
5459,WNT3,FZD1
5460,WNT5B,FZD1
5461,WNT7B,FZD1
5462,WNT10A,FZD1
5463,WNT8B,FZD1
5464,WNT9A,FZD1
5465,WNT9B,FZD1
5466,MYOC,FZD1
5467,SFRP4,FZD1
5468,SFRP5,FZD1
5469,WNT1,FZD3
5470,SFRP2,FZD3
5471,WNT5A,FZD3
5472,WNT8A,FZD3
5473,WNT3A,FZD3
5474,WNT10B,FZD3
5475,WNT2,FZD3
5476,WNT7A,FZD3
5477,WNT4,FZD3
5478,WNT6,FZD3
5479,WNT11,FZD3
5480,WNT16,FZD3
5481,WNT2B,FZD3
5482,WNT3,FZD3
5483,WNT5B,FZD3
5484,WNT7B,FZD3
5485,WNT10A,FZD3
5486,WNT8B,FZD3
5487,WNT9A,FZD3
5488,WNT9B,FZD3
5489,MYOC,FZD3
5490,SFRP4,FZD3
5491,SFRP5,FZD3
5492,WNT1,FZD6
5493,SFRP2,FZD6
5494,WNT5A,FZD6
5495,WNT8A,FZD6
5496,WNT3A,FZD6
5497,WNT10B,FZD6
5498,WNT2,FZD6
5499,WNT7A,FZD6
5500,WNT4,FZD6
5501,WNT6,FZD6
5502,WNT11,FZD6
5503,WNT16,FZD6
5504,WNT2B,FZD6
5505,WNT3,FZD6
5506,WNT5B,FZD6
5507,WNT7B,FZD6
5508,WNT10A,FZD6
5509,WNT8B,FZD6
5510,WNT9A,FZD6
5511,WNT9B,FZD6
5512,SFRP4,FZD6
5513,SFRP5,FZD6
5514,WNT1,FZD8
5515,SFRP2,FZD8
5516,WNT5A,FZD8
5517,WNT8A,FZD8
5518,WNT3A,FZD8
5519,WNT10B,FZD8
5520,WNT2,FZD8
5521,WNT7A,FZD8
5522,WNT4,FZD8
5523,RSPO1,FZD8
5524,RSPO3,FZD8
5525,WNT6,FZD8
5526,WNT11,FZD8
5527,WNT16,FZD8
5528,WNT2B,FZD8
5529,WNT3,FZD8
5530,WNT5B,FZD8
5531,WNT7B,FZD8
5532,WNT10A,FZD8
5533,WNT8B,FZD8
5534,WNT9A,FZD8
5535,WNT9B,FZD8
5536,SFRP4,FZD8
5537,SFRP5,FZD8
5538,WNT1,LRP5
5539,WNT5A,LRP5
5540,DKK1,LRP5
5541,NDP,LRP5
5542,WNT8A,LRP5
5543,WNT3A,LRP5
5544,WNT10B,LRP5
5545,WNT2,LRP5
5546,WNT7A,LRP5
5547,WNT4,LRP5
5548,WNT6,LRP5
5549,WNT16,LRP5
5550,WNT2B,LRP5
5551,THBS1,LRP5
5552,FZD8,LRP5
5553,APOE,LRP5
5554,WNT5B,LRP5
5555,WNT7B,LRP5
5556,WNT10A,LRP5
5557,WNT8B,LRP5
5558,WNT9A,LRP5
5559,WNT9B,LRP5
5560,DKK4,LRP5
5561,DKK2,LRP5
5562,SOSTDC1,LRP5
5563,SOST,LRP5
5564,FAM3B,LRP5
5565,WNT1,FZD7
5566,SFRP2,FZD7
5567,WNT5A,FZD7
5568,WNT8A,FZD7
5569,WNT3A,FZD7
5570,WNT10B,FZD7
5571,WNT2,FZD7
5572,WNT7A,FZD7
5573,WNT4,FZD7
5574,WNT6,FZD7
5575,WNT11,FZD7
5576,WNT16,FZD7
5577,WNT2B,FZD7
5578,WNT3,FZD7
5579,WNT5B,FZD7
5580,WNT7B,FZD7
5581,WNT10A,FZD7
5582,WNT8B,FZD7
5583,WNT9A,FZD7
5584,WNT9B,FZD7
5585,MYOC,FZD7
5586,SFRP4,FZD7
5587,SFRP5,FZD7
5588,WNT1,FZD2
5589,SFRP2,FZD2
5590,WNT5A,FZD2
5591,WNT8A,FZD2
5592,WNT3A,FZD2
5593,WNT10B,FZD2
5594,WNT2,FZD2
5595,WNT7A,FZD2
5596,WNT4,FZD2
5597,WNT6,FZD2
5598,WNT11,FZD2
5599,WNT16,FZD2
5600,WNT2B,FZD2
5601,WNT3,FZD2
5602,WNT5B,FZD2
5603,WNT7B,FZD2
5604,WNT10A,FZD2
5605,WNT8B,FZD2
5606,WNT9A,FZD2
5607,WNT9B,FZD2
5608,SFRP4,FZD2
5609,SFRP5,FZD2
5610,WNT1,FZD10
5611,SFRP2,FZD10
5612,WNT5A,FZD10
5613,WNT8A,FZD10
5614,WNT3A,FZD10
5615,WNT10B,FZD10
5616,WNT2,FZD10
5617,WNT7A,FZD10
5618,WNT4,FZD10
5619,WNT6,FZD10
5620,WNT11,FZD10
5621,WNT16,FZD10
5622,WNT2B,FZD10
5623,WNT3,FZD10
5624,WNT5B,FZD10
5625,WNT7B,FZD10
5626,WNT10A,FZD10
5627,WNT8B,FZD10
5628,WNT9A,FZD10
5629,WNT9B,FZD10
5630,MYOC,FZD10
5631,SFRP4,FZD10
5632,SFRP5,FZD10
5633,WNT1,FZD4
5634,SFRP2,FZD4
5635,WNT5A,FZD4
5636,NDP,FZD4
5637,WNT8A,FZD4
5638,WNT3A,FZD4
5639,WNT10B,FZD4
5640,WNT2,FZD4
5641,WNT7A,FZD4
5642,WNT4,FZD4
5643,WNT6,FZD4
5644,WNT11,FZD4
5645,WNT16,FZD4
5646,WNT2B,FZD4
5647,WNT3,FZD4
5648,WNT5B,FZD4
5649,WNT7B,FZD4
5650,WNT10A,FZD4
5651,WNT8B,FZD4
5652,WNT9A,FZD4
5653,WNT9B,FZD4
5654,MYOC,FZD4
5655,SFRP4,FZD4
5656,SFRP5,FZD4
5657,WNT1,FZD5
5658,SFRP2,FZD5
5659,WNT5A,FZD5
5660,WNT8A,FZD5
5661,WNT3A,FZD5
5662,WNT10B,FZD5
5663,WNT2,FZD5
5664,WNT7A,FZD5
5665,WNT4,FZD5
5666,WNT6,FZD5
5667,WNT11,FZD5
5668,WNT16,FZD5
5669,WNT2B,FZD5
5670,WNT3,FZD5
5671,WNT5B,FZD5
5672,WNT7B,FZD5
5673,WNT10A,FZD5
5674,WNT8B,FZD5
5675,WNT9A,FZD5
5676,WNT9B,FZD5
5677,SFRP4,FZD5
5678,SFRP5,FZD5
5679,WNT1,FZD9
5680,SFRP2,FZD9
5681,WNT5A,FZD9
5682,WNT8A,FZD9
5683,WNT3A,FZD9
5684,WNT10B,FZD9
5685,WNT2,FZD9
5686,WNT7A,FZD9
5687,WNT4,FZD9
5688,WNT6,FZD9
5689,WNT11,FZD9
5690,WNT16,FZD9
5691,WNT2B,FZD9
5692,WNT3,FZD9
5693,WNT5B,FZD9
5694,WNT7B,FZD9
5695,WNT10A,FZD9
5696,WNT8B,FZD9
5697,WNT9A,FZD9
5698,WNT9B,FZD9
5699,SFRP4,FZD9
5700,SFRP5,FZD9
5701,JAG1,CD46
5702,CD209,CD46
5703,C4B,CD46
5704,KIT,EPOR
5705,EPO,EPOR
5706,KITLG,EPOR
5707,PTPN6,EPOR
5708,INHBA,EPOR
5709,KIT,PTPRU
5710,TNF,PTPRU
5711,GNRH2,PTPRU
5712,KIT,PTPRO
5713,KITLG,PTPRO
5714,KIT,CD81
5715,CD99,CD81
5716,KIT,CSF2RA
5717,PTPN6,CSF2RA
5718,CSF1,CSF2RA
5719,CSF3,CSF2RA
5720,CSF2,CSF2RA
5721,KIT,CD63
5722,AMELX,CD63
5723,AMBN,CD63
5724,AMELY,CD63
5725,ENAM,CD63
5726,AGT,AGTR2
5727,SFRP2,WNT2
5728,DKK1,WNT2
5729,FRZB,WNT2
5730,WIF1,WNT2
5731,RSPO1,WNT2
5732,RSPO2,WNT2
5733,RSPO3,WNT2
5734,RSPO4,WNT2
5735,DKK4,WNT2
5736,DKK2,WNT2
5737,DRAXIN,WNT2
5738,SOSTDC1,WNT2
5739,SOST,WNT2
5740,CER1,WNT2
5741,SERPINF1,WNT2
5742,SFRP4,WNT2
5743,SFRP5,WNT2
5744,SFRP2,WNT5A
5745,FRZB,WNT5A
5746,WIF1,WNT5A
5747,CER1,WNT5A
5748,SFRP4,WNT5A
5749,SFRP5,WNT5A
5750,SFRP2,WNT3A
5751,DKK1,WNT3A
5752,FRZB,WNT3A
5753,WIF1,WNT3A
5754,RSPO1,WNT3A
5755,RSPO2,WNT3A
5756,RSPO3,WNT3A
5757,RSPO4,WNT3A
5758,DKK4,WNT3A
5759,DKK2,WNT3A
5760,DRAXIN,WNT3A
5761,SOSTDC1,WNT3A
5762,SOST,WNT3A
5763,CER1,WNT3A
5764,SERPINF1,WNT3A
5765,SFRP4,WNT3A
5766,SFRP5,WNT3A
5767,SFRP2,WNT6
5768,DKK1,WNT6
5769,FRZB,WNT6
5770,WIF1,WNT6
5771,RSPO1,WNT6
5772,RSPO2,WNT6
5773,RSPO3,WNT6
5774,RSPO4,WNT6
5775,DKK4,WNT6
5776,DKK2,WNT6
5777,DRAXIN,WNT6
5778,SOSTDC1,WNT6
5779,SOST,WNT6
5780,CER1,WNT6
5781,SERPINF1,WNT6
5782,SFRP4,WNT6
5783,SFRP5,WNT6
5784,SFRP2,WNT5B
5785,WIF1,WNT5B
5786,CER1,WNT5B
5787,SFRP4,WNT5B
5788,SFRP5,WNT5B
5789,AFDN,PTPRM
5790,GZMA,PARD3
5791,PRSS1,PARD3
5792,CTSG,PARD3
5793,PLG,PARD3
5794,PRSS3,PARD3
5795,PRSS2,PARD3
5796,NECTIN2,PARD3
5797,NECTIN4,PARD3
5798,VCAN,SELL
5799,PODXL2,SELL
5800,CD34,SELL
5801,APOB,ENO1
5802,TNF,PSEN1
5803,FGF19,NR0B2
5804,EFNB2,GRM5
5805,IL4,IL4R
5806,PTPN6,IL4R
5807,IL2,IL4R
5808,IL13,IL4R
5809,HGF,SPHK1
5810,TNF,SPHK1
5811,TGFB2,SPHK1
5812,PDGFA,SPHK1
5813,PDGFB,SPHK1
5814,PDGFD,SPHK1
5815,VEGFA,SPHK1
5816,DBH,ADRA1D
5817,IFNG,VCAM1
5818,CD40LG,VCAM1
5819,IL4,VCAM1
5820,TNF,VCAM1
5821,INS,VCAM1
5822,IL15,VCAM1
5823,VEGFA,VCAM1
5824,IL18,VCAM1
5825,TNFSF12,VCAM1
5826,THBS1,VCAM1
5827,ICAM1,VCAM1
5828,DBH,ADRA1B
5829,IGF2,S1PR1
5830,PDGFB,S1PR1
5831,FGF2,S1PR1
5832,KDR,S1PR1
5833,VEGFA,S1PR1
5834,SPP1,S1PR1
5835,BMP2,HJV
5836,BMP7,HJV
5837,BMP6,HJV
5838,BMP4,HJV
5839,BMP5,HJV
5840,FST,HJV
5841,RGMA,HJV
5842,TLN1,ITGA2B
5843,RELN,ITGA2B
5844,VTN,ITGA2B
5845,CALR,ITGA2B
5846,THBS1,ITGA2B
5847,THBS2,ITGA2B
5848,VWF,ITGA2B
5849,COMP,ITGA2B
5850,LAMB1,ITGA2B
5851,LAMA4,ITGA2B
5852,LAMA5,ITGA2B
5853,LAMC1,ITGA2B
5854,LAMC2,ITGA2B
5855,TNC,ITGA2B
5856,COL6A3,ITGA2B
5857,LAMA3,ITGA2B
5858,ICAM4,ITGA2B
5859,LAMC3,ITGA2B
5860,LAMA1,ITGA2B
5861,LAMB3,ITGA2B
5862,SPP1,ITGA2B
5863,LAMA2,ITGA2B
5864,LAMB2,ITGA2B
5865,CHAD,ITGA2B
5866,COL6A6,ITGA2B
5867,THBS4,ITGA2B
5868,COL11A2,ITGA2B
5869,WNT5A,LDLR
5870,EGF,LDLR
5871,IL1B,LDLR
5872,OSM,LDLR
5873,WNT7A,LDLR
5874,ACTR2,LDLR
5875,AVP,LDLR
5876,APOA1,LDLR
5877,APOE,LDLR
5878,APOB,LDLR
5879,APOC3,LDLR
5880,APOC2,LDLR
5881,ARPC5,LDLR
5882,PF4,LDLR
5883,PCSK9,LDLR
5884,APOA4,LDLR
5885,APOA2,LDLR
5886,TF,LDLR
5887,HSPA8,LDLR
5888,WNT5A,VANGL2
5889,WNT5A,PTPRK
5890,BMP7,PTPRK
5891,LGALS9,PTPRK
5892,WNT5A,ANTXR1
5893,GDF11,ANTXR1
5894,WNT5A,LRP2
5895,EGF,LRP2
5896,INS,LRP2
5897,SHH,LRP2
5898,LEP,LRP2
5899,ACTR2,LRP2
5900,MDK,LRP2
5901,AGT,LRP2
5902,AVP,LRP2
5903,TG,LRP2
5904,APOA1,LRP2
5905,APOE,LRP2
5906,APOB,LRP2
5907,APOC3,LRP2
5908,APOC2,LRP2
5909,ARPC5,LRP2
5910,PLG,LRP2
5911,LPA,LRP2
5912,APOA4,LRP2
5913,APOA2,LRP2
5914,TF,LRP2
5915,HSPA8,LRP2
5916,GC,LRP2
5917,SCGB1A1,LRP2
5918,WNT5A,RORA
5919,CCNA2,ITGAM
5920,CD40LG,ITGAM
5921,MST1,ITGAM
5922,IL2,ITGAM
5923,KNG1,ITGAM
5924,CXCL8,ITGAM
5925,HP,ITGAM
5926,CTGF,ITGAM
5927,APOB,ITGAM
5928,ICAM1,ITGAM
5929,PLG,ITGAM
5930,LPA,ITGAM
5931,ICAM4,ITGAM
5932,ICAM2,ITGAM
5933,SPON2,ITGAM
5934,CYR61,ITGAM
5935,CCNA2,ITGAV
5936,CSF1,ITGAV
5937,TGFB1,ITGAV
5938,PDGFB,ITGAV
5939,FGF2,ITGAV
5940,CXCL12,ITGAV
5941,CX3CL1,ITGAV
5942,VEGFA,ITGAV
5943,L1CAM,ITGAV
5944,RELN,ITGAV
5945,VTN,ITGAV
5946,CALR,ITGAV
5947,THBS1,ITGAV
5948,THBS2,ITGAV
5949,VWF,ITGAV
5950,COMP,ITGAV
5951,LAMB1,ITGAV
5952,LAMA4,ITGAV
5953,LAMA5,ITGAV
5954,LAMC1,ITGAV
5955,LAMC2,ITGAV
5956,NID1,ITGAV
5957,TNC,ITGAV
5958,MFGE8,ITGAV
5959,COL6A3,ITGAV
5960,LAMA3,ITGAV
5961,ICAM4,ITGAV
5962,LAMC3,ITGAV
5963,ANGPTL3,ITGAV
5964,LAMA1,ITGAV
5965,LAMB3,ITGAV
5966,SPP1,ITGAV
5967,LAMA2,ITGAV
5968,LAMB2,ITGAV
5969,EDIL3,ITGAV
5970,AZGP1,ITGAV
5971,CHAD,ITGAV
5972,COL6A6,ITGAV
5973,THBS4,ITGAV
5974,FNDC5,ITGAV
5975,PLA2G2A,ITGAV
5976,CYR61,ITGAV
5977,COL11A2,ITGAV
5978,CCNA2,TLR4
5979,IFNG,TLR4
5980,IL6,TLR4
5981,IL21,TLR4
5982,DEFB4B,TLR4
5983,VIP,TLR4
5984,HP,TLR4
5985,APOB,TLR4
5986,DCN,TLR4
5987,RETN,TLR4
5988,S100A1,TLR4
5989,HSPA4,TLR4
5990,S100A8,TLR4
5991,S100A12,TLR4
5992,S100A9,TLR4
5993,SFTPD,TLR4
5994,ANGPTL2,TLR4
5995,PRG4,TLR4
5996,IL22,IL10RB
5997,IL10,IL10RB
5998,PTPN6,IL10RB
5999,IL24,IL10RB
6000,IL26,IL10RB
6001,IFNL1,IL10RB
6002,IFNL2,IL10RB
6003,IFNL3,IL10RB
6004,UCN2,IL10RB
6005,UCN3,IL10RB
6006,IFNL4,IL10RB
6007,IL22,IL20RA
6008,PTPN6,IL20RA
6009,IL24,IL20RA
6010,IL20,IL20RA
6011,IL26,IL20RA
6012,IL19,IL20RA
6013,IL22,IL22RA2
6014,PTPN6,IL22RA2
6015,IL22,IL22RA1
6016,PTPN6,IL22RA1
6017,IL24,IL22RA1
6018,IL20,IL22RA1
6019,IL22,IL10RA
6020,IL10,IL10RA
6021,PTPN6,IL10RA
6022,IL22,IL21R
6023,PTPN6,IL21R
6024,IL21,IL21R
6025,EPO,CRLF3
6026,EPO,SLC52A2
6027,IL6,SLC52A2
6028,IFNG,IL15
6029,FLT3LG,IL15
6030,IL21,IL15
6031,TNFSF10,TNFRSF11B
6032,IL4,TNFRSF11B
6033,TGFB1,TNFRSF11B
6034,TNF,TNFRSF11B
6035,IL13,TNFRSF11B
6036,PDGFA,TNFRSF11B
6037,FGF2,TNFRSF11B
6038,TNFSF13,TNFRSF11B
6039,TNFSF11,TNFRSF11B
6040,VTN,TNFRSF11B
6041,PTH,TNFRSF11B
6042,THBS1,TNFRSF11B
6043,VWF,TNFRSF11B
6044,TNFRSF1A,TNFRSF1B
6045,LTA,TNFRSF1B
6046,TNF,TNFRSF1B
6047,GRN,TNFRSF1B
6048,IL1B,NR2C2
6049,IL10,SIRPG
6050,IL10,TFRC
